Wall time,Step,Value
1677515628.499448,1419264,-5.485878944396973
1677515631.2956936,1423360,-5.4399919509887695
1677515634.1153364,1427456,-5.430977821350098
1677515635.3975303,1429504,-5.473433017730713
1677515638.2031991,1433600,-5.50848913192749
1677515642.23958,1439744,-5.498497009277344
1677515643.760916,1441792,-5.46219539642334
1677515646.5233166,1445888,-5.46745491027832
1677515651.9242783,1454080,-6.083588123321533
1677515653.5319834,1456128,-6.150502681732178
1677515656.339937,1460224,-6.210275650024414
1677515660.443242,1466368,-5.601624011993408
1677515663.214974,1470464,-5.462050437927246
1677515667.3256853,1476608,-5.40345573425293
1677515668.6070483,1478656,-5.379421234130859
1677515671.3679678,1482752,-5.337742805480957
1677515674.2093737,1486848,-5.289511680603027
1677515675.482016,1488896,-5.278371810913086
1677515678.2596588,1492992,-5.265511989593506
1677515679.7586727,1495040,-5.2675604820251465
1677515682.267292,1499136,-5.2654948234558105
1677515683.799704,1501184,-5.2609734535217285
1677515685.052284,1503232,-5.266122817993164
1677515691.8418489,1513472,-5.250827312469482
1677515697.4640098,1521664,-5.2381157875061035
1677515698.8077042,1523712,-5.234086036682129
1677515700.3652463,1525760,-5.2319817543029785
1677515715.6305566,1548288,-5.245670318603516
1677515717.145559,1550336,-5.322363376617432
1677515719.694128,1554432,-5.436143398284912
1677515728.1743047,1566720,-5.3553266525268555
1677515729.435977,1568768,-5.31654167175293
1677515733.4876516,1574912,-5.265097618103027
1677515735.0136251,1576960,-5.255974292755127
1677515739.0723326,1583104,-5.228631496429443
1677515743.1364357,1589248,-5.224481582641602
1677515744.6629057,1591296,-5.23442268371582
1677515747.4821835,1595392,-5.248973846435547
1677515748.752939,1597440,-5.24667501449585
1677515750.0308335,1599488,-5.29673957824707
1677515751.5603633,1601536,-5.566060543060303
1677515752.839507,1603584,-5.806406497955322
1677515761.2457917,1615872,-6.0326690673828125
1677515765.3588529,1622016,-5.7341766357421875
1677515776.5027537,1638400,-5.527716636657715
1677515783.426717,1648640,-5.381851673126221
1677515784.9608781,1650688,-5.355376720428467
1677515786.2526376,1652736,-5.318840503692627
1677515787.5202732,1654784,-5.314181327819824
1677515791.8922906,1660928,-5.297659397125244
1677515802.869556,1677312,-5.331777572631836
1677515804.1929297,1679360,-5.3057966232299805
1677515807.027681,1683456,-5.951436996459961
1677515809.8268855,1687552,-7.690361499786377
1677515815.4038985,1695744,-8.711941719055176
1677515816.7249787,1697792,-8.425982475280762
